model_id,platform_id,model_family,model_version,model_variants,model_architecture,parameters_count,context_window_size,createdAt,updatedAt,model_type,token_limit,model_size,model_size_unit
model_1742674369297_783,platform_1742531574055_992,AskCodi,1,,Transformer,,,2025-03-22T20:12:49.297Z,2025-03-22T20:47:13.531Z,AI Model,,,
model_1742674371778_423,platform_1742531574055_265,AskCSV,1,,,,,2025-03-22T20:12:51.778Z,2025-03-22T20:47:15.809Z,AI Model,,,
model_1742674373843_779,platform_1742531574056_590,Audiense,1,,,,,2025-03-22T20:12:53.843Z,2025-03-22T20:47:17.708Z,AI Model,,,
model_1742674375845_301,platform_1742531574057_788,Automate.io,1,,,,,2025-03-22T20:12:55.845Z,2025-03-22T20:47:19.657Z,AI Model,,,
model_1742674378094_761,platform_1742531574057_657,Automateo,1,,Transformer,,,2025-03-22T20:12:58.095Z,2025-03-22T20:47:21.747Z,AI Model,,,
model_1742674380159_163,platform_1742531574058_347,Automatisch,1,,,,,2025-03-22T20:13:00.159Z,2025-03-22T20:47:23.743Z,AI Model,,,
model_1742674382542_709,platform_1742531574058_116,Autopilot,1,,Transformer,1B,4K,2025-03-22T20:13:02.542Z,2025-03-22T20:13:02.542Z,LLM,4096,1,B
model_1742674384745_625,platform_1742531574059_508,AWS Edge Services,1,,,,,2025-03-22T20:13:04.745Z,2025-03-22T20:47:26.588Z,AI Model,,,
model_1742674386170_472,platform_1742531574059_939,AWS IoT Greengrass,1,,,,,2025-03-22T20:13:06.170Z,2025-03-22T20:47:28.580Z,AI Model,,,
model_1742674387736_516,platform_1742531574059_855,AWS Greengrass,1,,,,,2025-03-22T20:13:07.736Z,2025-03-22T20:47:30.681Z,AI Model,,,
model_1742674389884_215,platform_1742531574060_430,AWS Rekognition,1,,,,,2025-03-22T20:13:09.884Z,2025-03-22T20:47:32.811Z,Image and Video Analysis,,,
model_1742674391492_267,platform_1742531574060_777,Amazon SageMaker Clarify,1,,,,,2025-03-22T20:13:11.492Z,2025-03-22T20:47:34.810Z,AI Model,,,
model_1742674393026_336,platform_1742531574061_855,Aylien,1,,,,,2025-03-22T20:13:13.026Z,2025-03-22T20:47:36.910Z,AI Model,,,
model_1742674394559_822,platform_1742531574061_527,Microsoft Azure ML Interpretability,1,,,,,2025-03-22T20:13:14.559Z,2025-03-22T20:47:38.895Z,AI Model,,,
model_1742674396889_986,platform_1742531574061_788,Google Bard,1,,Transformer,,,2025-03-22T20:13:16.890Z,2025-03-22T20:47:40.729Z,LLM,,,
model_1742674398438_860,platform_1742531574062_636,Basecamp,1,,,,,2025-03-22T20:13:18.438Z,2025-03-22T20:47:42.597Z,AI Model,,,
model_1742674400516_287,platform_1742531574063_771,BeeFree,1,,,,,2025-03-22T20:13:20.516Z,2025-03-22T20:47:44.387Z,AI Model,,,
model_1742674402601_277,platform_1742531574063_805,DreamStudio,1,,Transformer,,,2025-03-22T20:13:22.601Z,2025-03-22T20:47:46.835Z,Image Generation,,,
model_1742674404743_642,platform_1742531574064_856,Eleven Labs,1,,Transformer,,,2025-03-22T20:13:24.743Z,2025-03-22T20:47:48.590Z,AI Model,,,
model_1742674406803_409,platform_1742531574065_200,BigML,1,,,,,2025-03-22T20:13:26.803Z,2025-03-22T20:47:50.505Z,AI Model,,,
model_1742674408916_522,platform_1742531574065_173,Ghostwriter,1,,Transformer,1B,4K,2025-03-22T20:13:28.916Z,2025-03-22T20:13:28.916Z,LLM,4096,1,B
model_1742674411133_221,platform_1742531574066_564,BrainChip Akida,1,,,,,2025-03-22T20:13:31.133Z,2025-03-22T20:47:54.261Z,AI Model,,,
model_1742674412678_428,platform_1742531574066_224,Brand24,1,,,,,2025-03-22T20:13:32.678Z,2025-03-22T20:47:56.292Z,AI Model,,,
model_1742674415009_381,platform_1742531574067_428,Brandfolder,1,,,,,2025-03-22T20:13:35.009Z,2025-03-22T20:47:58.170Z,AI Model,,,
model_1742674417069_145,platform_1742531574068_351,Brandmark,1,,Unknown,,,2025-03-22T20:13:37.069Z,2025-03-22T20:48:00.854Z,AI Model,,,
model_1742674418995_571,platform_1742531574068_600,Buffer,1,,,,,2025-03-22T20:13:38.995Z,2025-03-22T20:48:02.671Z,AI Model,,,
model_1742674420993_172,platform_1742531574068_356,BuzzSumo,1,,,,,2025-03-22T20:13:40.993Z,2025-03-22T20:48:04.488Z,AI Model,,,
model_1742674425419_531,platform_1742531574069_920,Cald.ai,1,,Transformer,7B,8K,2025-03-22T20:13:45.419Z,2025-03-22T20:13:45.419Z,LLM,4096,7,B
model_1742674425419_306,platform_1742531574069_920,Cald.ai,1,Instruct,Transformer,13B,16K,2025-03-22T20:13:45.419Z,2025-03-22T20:13:45.419Z,LLM,8192,13,B
model_1742674425419_541,platform_1742531574069_920,Cald.ai,1,Chat,Transformer,70B,32K,2025-03-22T20:13:45.419Z,2025-03-22T20:13:45.419Z,LLM,16000,70,B
model_1742674425419_2,platform_1742531574069_920,Cald.ai,1,Base,Transformer,175B,100K,2025-03-22T20:13:45.419Z,2025-03-22T20:13:45.419Z,LLM,32000,175,B
model_1742674425419_80,platform_1742531574069_920,Cald.ai,1,Vision,Transformer,7B,8K,2025-03-22T20:13:45.419Z,2025-03-22T20:48:10.793Z,Image Generation,,7,B
model_1742674427373_694,platform_1742531574069_45,Captum,1,,,,,2025-03-22T20:13:47.373Z,2025-03-22T20:48:12.644Z,AI Model,,,
model_1742674429409_681,platform_1742531574070_410,ChatGPT for Google,1,,Transformer,,,2025-03-22T20:13:49.409Z,2025-03-22T20:48:14.609Z,LLM,,,
model_1742674431995_13,platform_1742531574071_38,ChatWithCloud,1,,Transformer,13B,8K,2025-03-22T20:13:51.995Z,2025-03-22T20:13:51.995Z,LLM,8192,13,B
model_1742674431995_437,platform_1742531574071_38,ChatWithCloud,1,Instruct,Transformer,6B,4K,2025-03-22T20:13:51.995Z,2025-03-22T20:13:51.995Z,LLM,4096,6,B
model_1742674434159_130,platform_1742531574071_460,Civitai,1,,,,,2025-03-22T20:13:54.159Z,2025-03-22T20:48:18.640Z,AI Model,,,
model_1742674436356_270,platform_1742531574072_984,Clara Labs,1,,,,,2025-03-22T20:13:56.356Z,2025-03-22T20:48:20.809Z,AI Model,,,
model_1742674438503_722,platform_1742531574072_768,Claritas,1,,,,,2025-03-22T20:13:58.503Z,2025-03-22T20:48:22.739Z,AI Model,,,
model_1742674441182_424,platform_1742531574073_51,Claude,3,Base,Transformer,,100K,2025-03-22T20:14:01.182Z,2025-03-22T20:48:24.941Z,LLM,,,
model_1742674441182_431,platform_1742531574073_51,Claude,3,Chat,Transformer,,100K,2025-03-22T20:14:01.182Z,2025-03-22T20:48:26.922Z,LLM,,,
model_1742674443237_71,platform_1742531574073_44,Clearbit,1,,,,,2025-03-22T20:14:03.237Z,2025-03-22T20:48:28.790Z,AI Model,,,
model_1742674445545_790,platform_1742531574074_520,ClickUp,1,,,,,2025-03-22T20:14:05.545Z,2025-03-22T20:48:30.788Z,AI Model,,,
model_1742674447557_434,platform_1742531574075_157,ClipDrop,1,,,,,2025-03-22T20:14:07.557Z,2025-03-22T20:48:32.580Z,Image Generation,,,
model_1742674449489_537,platform_1742531574075_678,Clipwing,1,,,,,2025-03-22T20:14:09.489Z,2025-03-22T20:48:34.373Z,AI Model,,,
model_1742674454623_811,platform_1742531574075_558,Vertex AI,1,Text-to-Text,Transformer,,8K,2025-03-22T20:14:14.623Z,2025-03-22T20:48:36.131Z,LLM,8192,,
model_1742674454623_816,platform_1742531574075_558,Dialogflow,CX,Conversational,Transformer,,,2025-03-22T20:14:14.623Z,2025-03-22T20:48:38.968Z,Conversational AI,,,
model_1742674454623_10,platform_1742531574075_558,AutoML,Vision,Image Classification,,,,2025-03-22T20:14:14.623Z,2025-03-22T20:48:40.914Z,Image Generation,,,
model_1742674454623_342,platform_1742531574075_558,Natural Language API,1,Text Analysis,,,,2025-03-22T20:14:14.623Z,2025-03-22T20:48:42.760Z,Natural Language Understanding,,,
model_1742674454623_221,platform_1742531574075_558,Speech-to-Text,1,Transcription,,,,2025-03-22T20:14:14.623Z,2025-03-22T20:48:44.778Z,Speech Recognition,,,
model_1742674456832_985,platform_1742531574076_446,AutoML by Google Cloud,1,,,,,2025-03-22T20:14:16.832Z,2025-03-22T20:48:46.687Z,AI Model,,,
model_1742674458957_745,platform_1742531574076_795,Google Cloud Explainable AI,1,,,,,2025-03-22T20:14:18.957Z,2025-03-22T20:48:48.566Z,AI Model,,,
model_1742674461152_648,platform_1742531574076_796,Google Cloud Vision API,1,,,,,2025-03-22T20:14:21.152Z,2025-03-22T20:48:50.349Z,Image Analysis,,,
model_1742674464261_972,platform_1742531574077_900,CodeComplete,1,,Transformer,7B,8K,2025-03-22T20:14:24.261Z,2025-03-22T20:14:24.261Z,LLM,4096,7,B
model_1742674464261_909,platform_1742531574077_900,CodeComplete,1.1,Instruct,Transformer,13B,16K,2025-03-22T20:14:24.261Z,2025-03-22T20:14:24.261Z,LLM,8192,13,B
model_1742674464261_249,platform_1742531574077_900,CodeComplete,2,Chat,Transformer,20B,32K,2025-03-22T20:14:24.261Z,2025-03-22T20:14:24.261Z,LLM,16384,20,B
model_1742674466566_960,platform_1742531574078_469,CodeGPT,1,,Transformer,1B,8K,2025-03-22T20:14:26.566Z,2025-03-22T20:14:26.566Z,LLM,4096,1,B
model_1742674469100_910,platform_1742531574079_881,Codeium,1,,Transformer,2B,8K,2025-03-22T20:14:29.100Z,2025-03-22T20:14:29.100Z,LLM,4096,2,B
model_1742674471185_69,platform_1742531574079_319,Code to Flow,1,,Transformer,,,2025-03-22T20:14:31.185Z,2025-03-22T20:48:57.458Z,AI Model,,,
model_1742674473305_539,platform_1742531574080_170,Codiga,1,,Transformer,,,2025-03-22T20:14:33.305Z,2025-03-22T20:48:59.430Z,AI Model,,,
model_1742674475277_812,platform_1742531574080_466,Coefficient,1,,,,,2025-03-22T20:14:35.277Z,2025-03-22T20:49:01.374Z,AI Model,,,
model_1742674480758_437,platform_1742531574081_97,co:here,1,,Transformer,6B,4K,2025-03-22T20:14:40.758Z,2025-03-22T20:14:40.758Z,LLM,4096,6,B
model_1742674480758_610,platform_1742531574081_97,co:here,1,Command,Transformer,13B,8K,2025-03-22T20:14:40.758Z,2025-03-22T20:14:40.758Z,LLM,8192,13,B
model_1742674480758_971,platform_1742531574081_97,co:here,1,Embed,Transformer,2.8B,4K,2025-03-22T20:14:40.758Z,2025-03-22T20:14:40.758Z,Embedding,4096,2.8,B
model_1742674480758_827,platform_1742531574081_97,co:here,1,Summarize,Transformer,6B,4K,2025-03-22T20:14:40.758Z,2025-03-22T20:14:40.758Z,LLM,4096,6,B
model_1742674480758_847,platform_1742531574081_97,co:here,1,Generate,Transformer,13B,8K,2025-03-22T20:14:40.758Z,2025-03-22T20:14:40.758Z,LLM,8192,13,B
model_1742674483341_77,platform_1742531574081_245,Colossyan,1,,,,,2025-03-22T20:14:43.341Z,2025-03-22T20:49:08.646Z,AI Model,,,
model_1742674485265_184,platform_1742531574082_33,Consensus,1,,Transformer,unknown,unknown,2025-03-22T20:14:45.265Z,2025-03-22T20:49:10.423Z,AI Model,,,
model_1742674487268_245,platform_1742531574082_113,ContentStudio,1,,,,,2025-03-22T20:14:47.268Z,2025-03-22T20:49:12.252Z,AI Model,,,
model_1742674489337_97,platform_1742531574083_196,Context Data,1,,Transformer,1B,8K,2025-03-22T20:14:49.337Z,2025-03-22T20:14:49.337Z,LLM,4096,1,B
model_1742674491306_477,platform_1742531574084_802,Continue,1,,,,,2025-03-22T20:14:51.306Z,2025-03-22T20:49:15.807Z,AI Model,,,
model_1742674493198_30,platform_1742531574084_536,ConvertKit AI,1,,,,,2025-03-22T20:14:53.198Z,2025-03-22T20:49:18.057Z,AI Model,,,
model_1742674495151_599,platform_1742531574085_558,Coqui,1,,,,,2025-03-22T20:14:55.151Z,2025-03-22T20:49:20.053Z,AI Model,,,
model_1742674496712_920,platform_1742531574085_559,Google Coral,1,,,,,2025-03-22T20:14:56.712Z,2025-03-22T20:49:23.542Z,AI Model,,,
model_1742674498716_218,platform_1742531574086_811,CoSchedule,1,,,,,2025-03-22T20:14:58.717Z,2025-03-22T20:49:25.631Z,AI Model,,,
model_1742674500597_644,platform_1742531574087_169,Crowdfire,1,,,,,2025-03-22T20:15:00.597Z,2025-03-22T20:49:27.578Z,AI Model,,,
model_1742674506742_206,platform_1742531574087_957,CustomPod.io,1,,Transformer,10B,16K,2025-03-22T20:15:06.742Z,2025-03-22T20:15:06.742Z,LLM,16000,10,B
model_1742674506742_549,platform_1742531574087_957,CustomPod.io,1.1,Enhanced,Transformer,12B,32K,2025-03-22T20:15:06.742Z,2025-03-22T20:15:06.742Z,LLM,32000,12,B
model_1742674506742_176,platform_1742531574087_957,CustomPod.io,1,Base,Transformer,8B,8K,2025-03-22T20:15:06.742Z,2025-03-22T20:15:06.742Z,LLM,8000,8,B
model_1742674506742_905,platform_1742531574087_957,CustomPod.io,2,Vision,Transformer,15B,24K,2025-03-22T20:15:06.742Z,2025-03-22T20:49:33.048Z,Image Generation,,15,B
model_1742674506742_988,platform_1742531574087_957,CustomPod.io,1.2,Instruct,Transformer,11B,20K,2025-03-22T20:15:06.742Z,2025-03-22T20:15:06.742Z,LLM,20000,11,B
model_1742674508731_25,platform_1742531574087_623,Databricks Unified Data Analytics Platform,1,,,,,2025-03-22T20:15:08.731Z,2025-03-22T20:49:36.016Z,AI Model,,,
model_1742674511746_200,platform_1742531574088_992,Google Data Studio,1,,,,,2025-03-22T20:15:11.746Z,2025-03-22T20:49:38.083Z,AI Model,,,
model_1742674514184_139,platform_1742531574088_344,Datatron,1,,,,,2025-03-22T20:15:14.184Z,2025-03-22T20:49:39.904Z,AI Model,,,
model_1742674516514_36,platform_1742531574089_355,DeepArt,1,,Convolutional Neural Network,,,2025-03-22T20:15:16.514Z,2025-03-22T20:49:42.180Z,Image Generation,,,
model_1742674519557_855,platform_1742531574089_915,DeepMind AlphaFold,1,,Transformer,,,2025-03-22T20:15:19.557Z,2025-03-22T20:49:44.201Z,Protein Structure Prediction,,,
model_1742674519557_11,platform_1742531574089_915,DeepMind AlphaFold,2,,Transformer,,,2025-03-22T20:15:19.557Z,2025-03-22T20:49:46.100Z,Protein Structure Prediction,,,
model_1742674521717_42,platform_1742531574089_270,DeepMind AlphaGo,1,,"Monte Carlo Tree Search, Deep Neural Networks",,,2025-03-22T20:15:21.717Z,2025-03-22T20:49:48.298Z,AI Model,,,
model_1742674523949_430,platform_1742531574090_442,DeepSeek Flash-Lite,1,,Transformer,1B,8K,2025-03-22T20:15:23.949Z,2025-03-22T20:15:23.949Z,AI Model,4096,1,B
model_1742674526081_692,platform_1742531574090_433,DeepSeek R1,1,,Transformer,1B,8K,2025-03-22T20:15:26.081Z,2025-03-22T20:15:26.081Z,LLM,4096,1,B
model_1742674528400_422,platform_1742531574090_22,DeepSeek-R2,1,,Transformer,10B,16K,2025-03-22T20:15:28.400Z,2025-03-22T20:15:28.400Z,LLM,16000,10,B
model_1742674530517_831,platform_1742531574091_461,Microsoft Designer,1,,,,,2025-03-22T20:15:30.517Z,2025-03-22T20:49:53.503Z,AI Model,,,
model_1742674532425_954,platform_1742531574091_741,NVIDIA Jetson,1,,,,,2025-03-22T20:15:32.425Z,2025-03-22T20:49:55.388Z,AI Model,,,
model_1742674534677_164,platform_1742531574091_771,Google PageSpeed Insights,1,,,,,2025-03-22T20:15:34.677Z,2025-03-22T20:49:57.359Z,AI Model,,,
model_1742674536600_929,platform_1742531574092_398,Diagram,1,,,,,2025-03-22T20:15:36.600Z,2025-03-22T20:49:59.121Z,AI Model,,,
model_1742674538840_606,platform_1742531574093_347,Dittto.ai,1,,,,,2025-03-22T20:15:38.840Z,2025-03-22T20:50:01.174Z,AI Model,,,
model_1742674541007_467,platform_1742531574094_138,Dlvr.it,1,,,,,2025-03-22T20:15:41.007Z,2025-03-22T20:50:03.777Z,AI Model,,,
model_1742674545353_34,platform_1742531574094_114,OpenVINO Model Zoo,2023,Object Detection,Convolutional Neural Network,,,2025-03-22T20:15:45.353Z,2025-03-22T20:50:05.786Z,Computer Vision,,,
model_1742674545353_769,platform_1742531574094_114,OpenVINO Model Zoo,2023,Image Classification,Convolutional Neural Network,,,2025-03-22T20:15:45.353Z,2025-03-22T20:50:08.295Z,Computer Vision,,,
model_1742674545353_500,platform_1742531574094_114,OpenVINO Model Zoo,2023,Semantic Segmentation,Convolutional Neural Network,,,2025-03-22T20:15:45.353Z,2025-03-22T20:50:10.344Z,Computer Vision,,,
model_1742674545353_277,platform_1742531574094_114,OpenVINO Model Zoo,2023,Pose Estimation,Convolutional Neural Network,,,2025-03-22T20:15:45.353Z,2025-03-22T20:50:13.017Z,Computer Vision,,,
model_1742674545353_542,platform_1742531574094_114,OpenVINO Model Zoo,2023,Text Detection,Convolutional Neural Network,,,2025-03-22T20:15:45.353Z,2025-03-22T20:50:15.245Z,Computer Vision,,,
model_1742674547257_767,platform_1742531574095_897,Microsoft Dynamics 365,1,,,,,2025-03-22T20:15:47.257Z,2025-03-22T20:50:17.205Z,AI Model,,,
model_1742674549395_635,platform_1742531574096_835,eClincher,1,,,,,2025-03-22T20:15:49.395Z,2025-03-22T20:50:19.355Z,AI Model,,,
model_1742674551881_643,platform_1742531574096_517,Elephas,1,,,,,2025-03-22T20:15:51.881Z,2025-03-22T20:50:22.036Z,AI Model,,,
model_1742674554097_806,platform_1742531574097_235,ELI5,1,,Transformer,1B,8K,2025-03-22T20:15:54.097Z,2025-03-22T20:15:54.097Z,LLM,4096,1,B
model_1742674555987_196,platform_1742531574098_627,Elicit,1,,,,,2025-03-22T20:15:55.987Z,2025-03-22T20:50:24.967Z,AI Model,,,
model_1742674558074_259,platform_1742531574098_914,Excelformulabot,1,,Transformer,,,2025-03-22T20:15:58.074Z,2025-03-22T20:50:27.078Z,AI Model,,,
model_1742674560401_549,platform_1742531574099_182,ExplainX.ai,1,,,,,2025-03-22T20:16:00.402Z,2025-03-22T20:50:28.983Z,AI Model,,,
model_1742674562278_742,platform_1742531574099_545,FARSITE,1,,,,,2025-03-22T20:16:02.278Z,2025-03-22T20:50:30.853Z,AI Model,,,
model_1742674564385_979,platform_1742531574100_357,Fathom,1,,,,,2025-03-22T20:16:04.385Z,2025-03-22T20:50:32.829Z,AI Model,,,
model_1742674566214_150,platform_1742531574101_36,FeedHive,1,,,,,2025-03-22T20:16:06.214Z,2025-03-22T20:50:35.533Z,AI Model,,,
model_1742674568284_21,platform_1742531574101_796,Feedly,1,,,,,2025-03-22T20:16:08.284Z,2025-03-22T20:50:37.471Z,AI Model,,,
model_1742674570080_91,platform_1742531574102_273,Figstack,1,,,,,2025-03-22T20:16:10.080Z,2025-03-22T20:50:39.472Z,AI Model,,,
model_1742674572283_159,platform_1742531574103_632,FinChat,1,,Transformer,1B,8K,2025-03-22T20:16:12.283Z,2025-03-22T20:16:12.283Z,LLM,4096,1,B
model_1742674574515_192,platform_1742531574104_831,Fireflies.ai,1,,Transformer,,8K,2025-03-22T20:16:14.515Z,2025-03-22T20:50:42.548Z,AI Model,,,
model_1742674576365_620,platform_1742531574104_867,Float,1,,,,,2025-03-22T20:16:16.365Z,2025-03-22T20:50:44.506Z,AI Model,,,
model_1742674578185_542,platform_1742531574105_237,Forefront AI,1,,Transformer,,,2025-03-22T20:16:18.185Z,2025-03-22T20:50:49.133Z,AI Model,,,
model_1742674580504_704,platform_1742531574105_605,Forethought,1,,Transformer,1B,8K,2025-03-22T20:16:20.504Z,2025-03-22T20:16:20.504Z,LLM,4096,1,B
model_1742674582494_140,platform_1742531574106_654,Freshdesk,1,,,,,2025-03-22T20:16:22.494Z,2025-03-22T20:50:51.895Z,AI Model,,,
model_1742674584180_988,platform_1742531574106_251,Friends+Me,1,,,,,2025-03-22T20:16:24.180Z,2025-03-22T20:50:53.688Z,AI Model,,,
model_1742674586323_265,platform_1742531574107_700,Google Analytics for Email,1,,,,,2025-03-22T20:16:26.323Z,2025-03-22T20:50:55.657Z,AI Model,,,
model_1742674590459_920,platform_1742531574108_245,Galactica,1,,Transformer,120B,64K,2025-03-22T20:16:30.459Z,2025-03-22T20:16:30.459Z,LLM,65536,120,B
model_1742674591925_989,platform_1742531574108_126,GanttPRO,1,,,,,2025-03-22T20:16:31.925Z,2025-03-22T20:50:59.159Z,AI Model,,,
model_1742674596650_730,platform_1742531574108_704,Gemini,1,,Transformer,540B,100K,2025-03-22T20:16:36.650Z,2025-03-22T20:16:36.650Z,LLM,100000,540,B
model_1742674596650_574,platform_1742531574108_704,Gemini,1,Instruct,Transformer,175B,32K,2025-03-22T20:16:36.650Z,2025-03-22T20:16:36.650Z,LLM,32000,175,B
model_1742674596650_271,platform_1742531574108_704,Gemini,1,Chat,Transformer,70B,16K,2025-03-22T20:16:36.650Z,2025-03-22T20:16:36.650Z,LLM,16000,70,B
model_1742674596650_913,platform_1742531574108_704,Gemini,1,Vision,Transformer,100B,8K,2025-03-22T20:16:36.650Z,2025-03-22T20:16:36.650Z,Image Generation,8000,100,B
model_1742674596650_320,platform_1742531574108_704,Gemini,1,Base,Transformer,7B,4K,2025-03-22T20:16:36.650Z,2025-03-22T20:16:36.650Z,LLM,4096,7,B
model_1742674598796_479,platform_1742531574109_207,Human Generator,1,,Transformer,,,2025-03-22T20:16:38.796Z,2025-03-22T20:51:09.613Z,Image Generation,,,
model_1742674601472_288,platform_1742531574110_905,Gensbot,1,,Transformer,1B,8K,2025-03-22T20:16:41.472Z,2025-03-22T20:16:41.472Z,LLM,8192,1,B
model_1742674603434_125,platform_1742531574111_823,Emilio,1,,,,,2025-03-22T20:16:43.434Z,2025-03-22T20:51:12.495Z,AI Model,,,
model_1742674604777_707,platform_1742531574111_313,Pocket,1,,,,,2025-03-22T20:16:44.777Z,2025-03-22T20:51:14.445Z,AI Model,,,
model_1742674607096_727,platform_1742531574112_628,FairML,1,,,,,2025-03-22T20:16:47.096Z,2025-03-22T20:51:16.408Z,AI Model,,,
model_1742674609027_191,platform_1742531574112_968,iNNvestigate,1,,,,,2025-03-22T20:16:49.027Z,2025-03-22T20:51:18.464Z,AI Model,,,
model_1742674610810_818,platform_1742531574112_785,Counterfactual Explanations,1,,Unknown,,,2025-03-22T20:16:50.810Z,2025-03-22T20:51:20.563Z,AI Model,,,
model_1742674612813_292,platform_1742531574113_991,TreeInterpreter,1,,,,,2025-03-22T20:16:52.813Z,2025-03-22T20:51:22.330Z,AI Model,,,
model_1742674614939_746,platform_1742531574113_506,Harbor,1,,Transformer,1B,8K,2025-03-22T20:16:54.939Z,2025-03-22T20:16:54.939Z,LLM,4096,1,B
model_1742674617065_333,platform_1742531574113_419,Petals,1,,Transformer,175B,8K,2025-03-22T20:16:57.065Z,2025-03-22T20:16:57.065Z,LLM,8192,175,B
model_1742674619006_997,platform_1742531574114_388,WhoDB,1,,,,,2025-03-22T20:16:59.006Z,2025-03-22T20:51:26.334Z,AI Model,,,
model_1742674621057_439,platform_1742531574114_679,MutahunterAI,1,,Transformer,,,2025-03-22T20:17:01.057Z,2025-03-22T20:51:28.146Z,AI Model,,,
model_1742674623108_580,platform_1742531574114_103,Prompt Engineering Guide,1,,Transformer,,,2025-03-22T20:17:03.108Z,2025-03-22T20:51:30.113Z,AI Model,,,
model_1742674625698_775,platform_1742531574115_685,Teleprompter,1,,Transformer,,,2025-03-22T20:17:05.698Z,2025-03-22T20:51:32.009Z,AI Model,,,
model_1742674627824_303,platform_1742531574115_347,FauxPilot,1,,Transformer,,,2025-03-22T20:17:07.824Z,2025-03-22T20:51:34.050Z,LLM,,,
model_1742674630349_742,platform_1742531574115_116,MetaGPT,1,,Transformer,1B,8K,2025-03-22T20:17:10.349Z,2025-03-22T20:17:10.349Z,LLM,4096,1,B
model_1742674630349_302,platform_1742531574115_116,MetaGPT,1,Chat,Transformer,1B,8K,2025-03-22T20:17:10.349Z,2025-03-22T20:17:10.349Z,LLM,4096,1,B
model_1742674632493_114,platform_1742531574115_889,Huginn,1,,,,,2025-03-22T20:17:12.493Z,2025-03-22T20:51:37.928Z,AI Model,,,
model_1742674635148_747,platform_1742531574116_816,privateGPT,1,,Transformer,7B,8K,2025-03-22T20:17:15.148Z,2025-03-22T20:17:15.148Z,LLM,4096,7,B
model_1742674637246_744,platform_1742531574116_847,DiCE (Diverse Counterfactual Explanation),1,,,,,2025-03-22T20:17:17.246Z,2025-03-22T20:51:40.971Z,AI Model,,,
model_1742674639437_247,platform_1742531574116_653,L2X,1,,Neural Network,,,2025-03-22T20:17:19.437Z,2025-03-22T20:51:42.789Z,Explainability Model,,,
model_1742674640889_245,platform_1742531574117_521,DeepLIFT,1,,,,,2025-03-22T20:17:20.889Z,2025-03-22T20:51:44.829Z,AI Model,,,
model_1742674643214_350,platform_1742531574117_797,SHAPash,1,,,,,2025-03-22T20:17:23.214Z,2025-03-22T20:51:46.599Z,AI Model,,,
model_1742674645265_29,platform_1742531574117_64,Anchor Explanations,1,,,,,2025-03-22T20:17:25.265Z,2025-03-22T20:51:48.444Z,AI Model,,,
model_1742674647191_175,platform_1742531574118_681,LIME (Local Interpretable Model-Agnostic Explanations),1,,,,,2025-03-22T20:17:27.191Z,2025-03-22T20:51:50.410Z,AI Model,,,
model_1742674649239_682,platform_1742531574118_104,AI Kernel Explorer,1,,,,,2025-03-22T20:17:29.239Z,2025-03-22T20:51:52.336Z,AI Model,,,
model_1742674651305_534,platform_1742531574118_469,MemFree,1,,Transformer,1B,8K,2025-03-22T20:17:31.305Z,2025-03-22T20:17:31.305Z,LLM,4096,1,B
model_1742674654129_283,platform_1742531574118_535,Responsible AI Dashboard,1,,Custom,,,2025-03-22T20:17:34.129Z,2025-03-22T20:51:55.081Z,AI Model,,,
model_1742674656150_521,platform_1742531574119_211,DALEX,1,,,,,2025-03-22T20:17:36.150Z,2025-03-22T20:51:57.458Z,AI Model,,,
model_1742674658239_690,platform_1742531574119_138,TorToiSe,1,,Transformer,,,2025-03-22T20:17:38.239Z,2025-03-22T20:51:59.456Z,Text-to-Speech,,,
model_1742674661525_888,platform_1742531574119_765,gpt4all,1,,Transformer,7B,8K,2025-03-22T20:17:41.525Z,2025-03-22T20:17:41.525Z,LLM,4096,7,B
model_1742674661525_32,platform_1742531574119_765,gpt4all,1.1,Instruct,Transformer,13B,8K,2025-03-22T20:17:41.525Z,2025-03-22T20:17:41.525Z,LLM,4096,13,B
model_1742674661525_220,platform_1742531574119_765,gpt4all,1.2,Chat,Transformer,30B,8K,2025-03-22T20:17:41.525Z,2025-03-22T20:17:41.525Z,LLM,4096,30,B
model_1742674663590_768,platform_1742531574120_189,ExplainerDashboard,1,,,,,2025-03-22T20:17:43.590Z,2025-03-22T20:52:04.634Z,AI Model,,,
model_1742674667927_14,platform_1742531574120_898,GPT,3.5-turbo,Chat,Transformer,175B,16K,2025-03-22T20:17:47.927Z,2025-03-22T20:17:47.927Z,LLM,4096,175,B
model_1742674667927_95,platform_1742531574120_898,GPT,4,Vision,Transformer,unknown,32K,2025-03-22T20:17:47.927Z,2025-03-22T20:52:12.289Z,LLM,8192,unknown,
model_1742674667927_844,platform_1742531574120_898,GPT,3,Instruct,Transformer,175B,8K,2025-03-22T20:17:47.927Z,2025-03-22T20:17:47.927Z,LLM,4096,175,B
model_1742674667927_852,platform_1742531574120_898,GPT,3.5,Base,Transformer,unknown,4K,2025-03-22T20:17:47.927Z,2025-03-22T20:52:15.264Z,LLM,4096,unknown,B
model_1742674667927_411,platform_1742531574120_898,GPT,4,Base,Transformer,unknown,unknown,2025-03-22T20:17:47.927Z,2025-03-22T20:52:17.147Z,LLM,unknown,unknown,
model_1742674669475_926,platform_1742531574120_670,Captum (Meta),1,,,,,2025-03-22T20:17:49.475Z,2025-03-22T20:52:18.961Z,AI Model,,,
